monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000120788;2000-12-11 09:25;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.283;mg/l
WN_FC2000120778;2000-12-11 09:55;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.19;mg/l
WN_FC2000120784;2000-12-11 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.585;mg/l
WN_FC2000121124;2000-12-14 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.186;mg/l
WN_FC2001011722;2001-01-25 09:40;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.16;mg/l
WN_FC2001011868;2001-01-26 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.481;mg/l
WN_FC2001011874;2001-01-26 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.95;mg/l
WN_FC2001012002;2001-01-29 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.06;mg/l
WN_FC2001012009;2001-01-29 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.8;mg/l
WN_FC2001012110;2001-01-30 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.29;mg/l
WN_FC2001020966;2001-02-15 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.16;mg/l
WN_FC2001021127;2001-02-16 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);4.62;mg/l
WN_FC2001021254;2001-02-19 09:25;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.092;mg/l
WN_FC2001021435;2001-02-21 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.73;mg/l
WN_FC2001021589;2001-02-22 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.089;mg/l
WN_FC2001021683;2001-02-23 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.286;mg/l
WN_FC2001022012;2001-02-28 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);4.54;mg/l
WN_FC2001022083;2001-03-01 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.144;mg/l
WN_FC2001031181;2001-03-19 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.41;mg/l
WN_FC2001031402;2001-03-21 09:50;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2001031418;2001-03-21 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.124;mg/l
WN_FC2001040199;2001-04-04 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.09;mg/l
WN_FC2001040946;2001-04-17 09:50;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.134;mg/l
WN_FC2001041160;2001-04-18 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.101;mg/l
WN_FC2001041390;2001-04-20 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.11;mg/l
WN_FC2001041377;2001-04-20 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.148;mg/l
WN_FC2001041701;2001-04-25 09:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.123;mg/l
WN_FC2001050995;2001-05-14 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.077;mg/l
WN_FC2001051061;2001-05-15 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.322;mg/l
WN_FC2001051103;2001-05-16 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.065;mg/l
WN_FC2001051404;2001-05-18 15:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.052;mg/l
WN_FC2001051520;2001-05-21 09:50;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2001060708;2001-06-12 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.132;mg/l
WN_FC2001060785;2001-06-13 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.07;mg/l
WN_FC2001061015;2001-06-15 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.491;mg/l
WN_FC2001061229;2001-06-19 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.079;mg/l
WN_FC2001070584;2001-07-10 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.309;mg/l
WN_FC2001070713;2001-07-11 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.084;mg/l
WN_FC2001070788;2001-07-12 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.157;mg/l
WN_FC2001071356;2001-07-19 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.136;mg/l
WN_FC2001071441;2001-07-20 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.719;mg/l
WN_FC2001080291;2001-08-06 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.24;mg/l
WN_FC2001080385;2001-08-07 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.657;mg/l
WN_FC2001080577;2001-08-09 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.296;mg/l
WN_FC2001080884;2001-08-14 08:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.069;mg/l
WN_FC2001081038;2001-08-15 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.088;mg/l
WN_FC2001081123;2001-08-16 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.067;mg/l
WN_FC2001081434;2001-08-21 15:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.64;mg/l
WN_FC2001082259;2001-09-03 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.563;mg/l
WN_FC2001090202;2001-09-05 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.18;mg/l
WN_FC2001090303;2001-09-06 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.239;mg/l
WN_FC2001090618;2001-09-11 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2001090938;2001-09-14 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.085;mg/l
WN_FC2001091900;2001-09-28 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.44;mg/l
WN_FC2001092005;2001-10-01 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.443;mg/l
WN_FC2001100065;2001-10-02 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.4;mg/l
WN_FC2001100277;2001-10-04 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.275;mg/l
WN_FC2001100610;2001-10-09 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
WN_FC2001101861;2001-10-26 14:14;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);5.23;mg/l
WN_FC2001102039;2001-10-30 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.52;mg/l
WN_FC2001102168;2001-10-31 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.186;mg/l
WN_FC2001102268;2001-11-01 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.295;mg/l
WN_FC2001110246;2001-11-06 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.103;mg/l
WN_FC2001110460;2001-11-08 09:30;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.267;mg/l
WN_FC2001111600;2001-11-27 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.54;mg/l
WN_FC2001111744;2001-11-28 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.666;mg/l
WN_FC2001111980;2001-12-03 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.421;mg/l
WN_FC2001120164;2001-12-05 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.103;mg/l
WN_FC2001120747;2001-12-13 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.862;mg/l
WN_FC2001120830;2001-12-14 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);3.71;mg/l
WN_FC2001121151;2001-12-19 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.87;mg/l
WN_FC2002011480;2002-01-23 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.986;mg/l
WN_FC2002011567;2002-01-24 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.23;mg/l
WN_FC2002011848;2002-01-29 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.203;mg/l
WN_FC2002020291;2002-02-06 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.205;mg/l
WN_FC2002020366;2002-02-07 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.535;mg/l
WN_FC2002020772;2002-02-13 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.156;mg/l
WN_FC2002021241;2002-02-20 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.93;mg/l
WN_FC2002030091;2002-03-04 09:00;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.157;mg/l
WN_FC2002030396;2002-03-07 09:50;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.277;mg/l
WN_FC2002030947;2002-03-15 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.163;mg/l
WN_FC2002040390;2002-04-08 08:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.195;mg/l
WN_FC2002040714;2002-04-11 09:55;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.084;mg/l
WN_FC2002041196;2002-04-18 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.115;mg/l
WN_FC2002041639;2002-04-24 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.994;mg/l
WN_FC2002050383;2002-05-07 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.131;mg/l
WN_FC2002050539;2002-05-08 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.103;mg/l
WN_FC2002051641;2002-05-23 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.362;mg/l
WN_FC2002051678;2002-05-24 08:55;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.81;mg/l
WN_FC2002051908;2002-05-28 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.147;mg/l
WN_FC2002060189;2002-06-05 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.084;mg/l
