monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2011322126;2011-08-05 08:29;IONEN;Calcium na filtratie (mg/l);68.0;mg/l;119694;464951
WN_FC2011321256;2011-08-08 11:41;IONEN;Calcium na filtratie (mg/l);99.0;mg/l;120698;488852
WN_FC2011322704;2011-08-15 12:15;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;125290;470063
WN_FC2011322838;2011-08-17 09:22;IONEN;Calcium na filtratie (mg/l);75.0;mg/l;127540;473186
WN_FC2011322705;2011-08-22 09:00;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;119349;493061
WN_FC2011324787;2011-09-09 00:00;IONEN;Calcium na filtratie (mg/l);57.0;mg/l;119694;464951
WN_FC2011325459;2011-09-27 09:40;IONEN;Calcium na filtratie (mg/l);96.0;mg/l;127540;473186
WN_FC2011327975;2011-10-06 09:31;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;128859;480426
WN_FC2011327844;2011-10-07 11:48;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;120698;488852
WN_FC2011328332;2011-10-10 09:38;IONEN;Calcium na filtratie (mg/l);65.0;mg/l;119694;464951
WN_FC2011328331;2011-10-10 10:00;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;119445;463875
WN_FC2011328291;2011-10-13 09:13;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;125290;470063
WN_FC2011328631;2011-10-14 10:11;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;127540;473186
WN_FC2011329760;2011-10-31 08:36;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;119349;493061
WN_FC2011331884;2011-11-08 09:05;IONEN;Calcium na filtratie (mg/l);160.0;mg/l;127540;473186
WN_FC2011332086;2011-11-10 10:46;IONEN;Calcium na filtratie (mg/l);74.0;mg/l;119694;464951
WN_FC2011334613;2011-12-01 09:35;IONEN;Calcium na filtratie (mg/l);79.0;mg/l;128859;480426
WN_FC2011334535;2011-12-01 10:50;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;120698;488852
WN_FC2011335497;2011-12-07 09:49;IONEN;Calcium na filtratie (mg/l);79.0;mg/l;127540;473186
WN_FC2011335193;2011-12-08 09:34;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119445;463875
WN_FC2011335194;2011-12-08 09:44;IONEN;Calcium na filtratie (mg/l);72.0;mg/l;119694;464951
WN_FC2011336402;2011-12-19 09:25;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2011335730;2011-12-21 09:55;IONEN;Calcium na filtratie (mg/l);92.0;mg/l;125290;470063
WN_FC2012338155;2012-01-17 10:13;IONEN;Calcium na filtratie (mg/l);140.0;mg/l;127540;473186
WN_FC2012340237;2012-02-20 10:03;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;120698;488852
WN_FC2012340348;2012-02-21 08:29;IONEN;Calcium na filtratie (mg/l);98.0;mg/l;119445;463875
WN_FC2012340260;2012-02-23 08:28;IONEN;Calcium na filtratie (mg/l);68.0;mg/l;128859;480426
WN_FC2012340281;2012-02-27 08:30;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;119349;493061
WN_FC2012340394;2012-02-27 10:51;IONEN;Calcium na filtratie (mg/l);91.0;mg/l;125290;470063
WN_FC2012342122;2012-03-21 09:29;IONEN;Calcium na filtratie (mg/l);150.0;mg/l;127540;473186
WN_FC2012344007;2012-04-04 07:52;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;128859;480426
WN_FC2012343980;2012-04-04 11:58;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;120698;488852
WN_FC2012344401;2012-04-11 10:05;IONEN;Calcium na filtratie (mg/l);98.0;mg/l;119445;463875
WN_FC2012344922;2012-04-16 09:25;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;119349;493061
