monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2000112490;2000-12-01 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;55.0;mS/m
WN_FC2000120499;2000-12-07 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;59.0;mS/m
WN_FC2000120788;2000-12-11 09:25;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;91.0;mS/m
WN_FC2000120778;2000-12-11 09:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;155.0;mS/m
WN_FC2000120784;2000-12-11 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;100.0;mS/m
WN_FC2000120876;2000-12-12 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;329.0;mS/m
WN_FC2000121019;2000-12-13 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2000121124;2000-12-14 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;238.0;mS/m
WN_FC2001011722;2001-01-25 09:40;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;51.0;mS/m
WN_FC2001011868;2001-01-26 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;99.0;mS/m
WN_FC2001011874;2001-01-26 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;330.0;mS/m
WN_FC2001012002;2001-01-29 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;117.0;mS/m
WN_FC2001012009;2001-01-29 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;103.0;mS/m
WN_FC2001012110;2001-01-30 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;35.0;mS/m
WN_FC2001020677;2001-02-12 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;283.0;mS/m
WN_FC2001020966;2001-02-15 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;100.0;mS/m
WN_FC2001021127;2001-02-16 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;80.0;mS/m
WN_FC2001021254;2001-02-19 09:25;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;94.0;mS/m
WN_FC2001021435;2001-02-21 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;41.0;mS/m
WN_FC2001021589;2001-02-22 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;56.0;mS/m
WN_FC2001021683;2001-02-23 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;215.0;mS/m
WN_FC2001022012;2001-02-28 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;76.0;mS/m
WN_FC2001022083;2001-03-01 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;281.0;mS/m
WN_FC2001031181;2001-03-19 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;82.0;mS/m
WN_FC2001031402;2001-03-21 09:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;93.0;mS/m
WN_FC2001031418;2001-03-21 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;70.0;mS/m
WN_FC2001031741;2001-03-26 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;280.0;mS/m
WN_FC2001040199;2001-04-04 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;278.0;mS/m
WN_FC2001040946;2001-04-17 09:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;72.0;mS/m
WN_FC2001041160;2001-04-18 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;30.0;mS/m
WN_FC2001041390;2001-04-20 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;68.0;mS/m
WN_FC2001041377;2001-04-20 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;278.0;mS/m
WN_FC2001041701;2001-04-25 09:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;278.0;mS/m
WN_FC2001050995;2001-05-14 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;88.0;mS/m
WN_FC2001051061;2001-05-15 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;91.0;mS/m
WN_FC2001051103;2001-05-16 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;66.0;mS/m
WN_FC2001051404;2001-05-18 15:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;266.0;mS/m
WN_FC2001051520;2001-05-21 09:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;276.0;mS/m
WN_FC2001060708;2001-06-12 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;384.0;mS/m
WN_FC2001060785;2001-06-13 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;65.0;mS/m
WN_FC2001061015;2001-06-15 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;70.0;mS/m
WN_FC2001061229;2001-06-19 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;279.0;mS/m
WN_FC2001070584;2001-07-10 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;57.0;mS/m
WN_FC2001070713;2001-07-11 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;66.0;mS/m
WN_FC2001070788;2001-07-12 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;72.0;mS/m
WN_FC2001071356;2001-07-19 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;282.0;mS/m
WN_FC2001071441;2001-07-20 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;305.0;mS/m
WN_FC2001080291;2001-08-06 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;355.0;mS/m
WN_FC2001080385;2001-08-07 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;68.0;mS/m
WN_FC2001080577;2001-08-09 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;52.0;mS/m
WN_FC2001080884;2001-08-14 08:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;283.0;mS/m
WN_FC2001081038;2001-08-15 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2001081123;2001-08-16 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;72.0;mS/m
WN_FC2001081434;2001-08-21 15:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;118.0;mS/m
WN_FC2001082259;2001-09-03 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;317.0;mS/m
WN_FC2001090202;2001-09-05 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;76.0;mS/m
WN_FC2001090303;2001-09-06 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;66.0;mS/m
WN_FC2001090618;2001-09-11 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;283.0;mS/m
WN_FC2001090938;2001-09-14 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;49.0;mS/m
WN_FC2001091900;2001-09-28 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;120.0;mS/m
WN_FC2001092005;2001-10-01 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;209.0;mS/m
WN_FC2001100065;2001-10-02 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;67.0;mS/m
WN_FC2001100277;2001-10-04 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;48.0;mS/m
WN_FC2001100610;2001-10-09 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;55.0;mS/m
WN_FC2001100780;2001-10-10 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;280.0;mS/m
WN_FC2001101861;2001-10-26 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;134.0;mS/m
WN_FC2001102039;2001-10-30 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;69.0;mS/m
WN_FC2001102168;2001-10-31 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;64.0;mS/m
WN_FC2001102268;2001-11-01 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;238.0;mS/m
WN_FC2001110246;2001-11-06 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;279.0;mS/m
WN_FC2001110460;2001-11-08 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2001111600;2001-11-27 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;71.0;mS/m
WN_FC2001111744;2001-11-28 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;61.0;mS/m
WN_FC2001111814;2001-11-29 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;272.0;mS/m
WN_FC2001111980;2001-12-03 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;254.0;mS/m
WN_FC2001120164;2001-12-05 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;42.0;mS/m
WN_FC2001120747;2001-12-13 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;53.0;mS/m
WN_FC2001120830;2001-12-14 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;133.0;mS/m
WN_FC2001121151;2001-12-19 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;87.0;mS/m
WN_FC2002011567;2002-01-24 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;50.0;mS/m
WN_FC2002011848;2002-01-29 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;57.0;mS/m
WN_FC2002020291;2002-02-06 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;158.0;mS/m
WN_FC2002020366;2002-02-07 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;45.0;mS/m
WN_FC2002020772;2002-02-13 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;56.0;mS/m
WN_FC2002021241;2002-02-20 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;100.0;mS/m
WN_FC2002030091;2002-03-04 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;155.0;mS/m
WN_FC2002030396;2002-03-07 09:50;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;43.0;mS/m
WN_FC2002030947;2002-03-15 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;99.0;mS/m
WN_FC2002040390;2002-04-08 08:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;200.0;mS/m
WN_FC2002040714;2002-04-11 09:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;55.0;mS/m
WN_FC2002041196;2002-04-18 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;84.0;mS/m
WN_FC2002041639;2002-04-24 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;109.0;mS/m
WN_FC2002050383;2002-05-07 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;279.0;mS/m
WN_FC2002050539;2002-05-08 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;58.0;mS/m
WN_FC2002051641;2002-05-23 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;72.0;mS/m
WN_FC2002051678;2002-05-24 08:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;110.0;mS/m
WN_FC2002051908;2002-05-28 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;36.0;mS/m
WN_FC2002060189;2002-06-05 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;71.0;mS/m
WN_FC2002060390;2002-06-07 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;298.0;mS/m
WN_FC2002060487;2002-06-10 09:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;80.0;mS/m
WN_FC2002061381;2002-06-21 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;104.0;mS/m
WN_FC2002061697;2002-06-26 14:14;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;36.0;mS/m
WN_FC2002070089;2002-07-02 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;111.0;mS/m
WN_FC2002070271;2002-07-04 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;161.0;mS/m
WN_FC2002070386;2002-07-05 09:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;70.0;mS/m
WN_FC2002070858;2002-07-12 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;60.0;mS/m
WN_FC2002071223;2002-07-18 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;113.0;mS/m
WN_FC2002071634;2002-07-24 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;37.0;mS/m
WN_FC2002072283;2002-08-01 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;369.0;mS/m
WN_FC2002080456;2002-08-08 09:55;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;68.0;mS/m
WN_FC2002081144;2002-08-20 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;36.0;mS/m
WN_FC2002081394;2002-08-23 11:11;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;114.0;mS/m
WN_FC2002081597;2002-08-27 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;253.0;mS/m
WN_FC2002091325;2002-09-20 12:12;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;34.0;mS/m
WN_FC2002092042;2002-10-01 09:00;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;378.0;mS/m
WN_FC2002100186;2002-10-03 09:30;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;66.0;mS/m
WN_FC2002101518;2002-10-24 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;36.0;mS/m
WN_FC2002110104;2002-11-04 09:15;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;211.0;mS/m
WN_FC2002110265;2002-11-06 09:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;69.0;mS/m
WN_FC2002111690;2002-11-28 09:05;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;89.0;mS/m
WN_FC2002120031;2002-12-03 08:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;183.0;mS/m
WN_FC2002120272;2002-12-05 09:45;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;69.0;mS/m
WN_FC2003010719;2003-01-15 10:10;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;98.0;mS/m
WN_FC2003010883;2003-01-17 13:13;ALG;Geleidendheid of EGV bij referentietemperatuur 25oC;118.0;mS/m
